"State","County.Name","B_armed","B_unarmed","H_armed","H_unarmed","W_armed","W_unarmed","src.wapo","SortGADMintoPrevOrder","SortGADMintoGADMintoGADMorder","County.FIPS.Code","FIPS","DMA","WeaponsBlack.sum","WeaponsWhite.sum","AssaultsBlack.sum","AssaultsWhite.sum","county","CountyName","ID","TOT_POP","TOT_MALE","TOT_FEMALE","WA_TOT","BAC_TOT","H_TOT","Pct.Uninsured","Median.Income","Gini","Pct.Living.in.Poverty","Pct.HS.Education","PercentSlaveOwningFarms","NSlavesPerCounty","ID.1","FBIDataToRight","VictimsOfHateCrimes","MURDER","AGASSLT","USPSDToRight","BlackArmed","BlackUnarmed","HispanicArmed","HispanicUnarmed","WhiteArmed","WhiteUnarmed","State.1","RandID","SouthernLawCenterDataToRight","Arson","Assault","Bombing","Cross.Burnings","Harassment","Intelligence","Intimidation","Leafletting","Legal.Developments","Murder","Rally","Threat","Vandalism","BayesianPosterior","ModelID","m.log.RR_Black_Unarmed_Versus_White_Unarmed","sd.log.RR_Black_Unarmed_Versus_White_Unarmed"
"AK","Anchorage Municipality",0,0,0,0,2,0,"wapo",70,96,2020,2020,156,NA,NA,NA,NA,"Anchorage Borough","AnchorageMunicipality","AKAnchorageMunicipality",291826,148209,143617,198531,23255,22061,18.4,70524,0.416,9.6,91.9,NA,NA,"AK020","FBIDataToRight",NA,17,846,"USPSDToRight",0,0,0,0,2,0,"AK",1,"SouthernLawCenterDataToRight",0,0,0,0,0,0,1,0,1,0,0,0,1,"BayesianPosterior",1,1.39738387842453,0.935252268500606
"AK","Matanuska-Susitna Borou",0,0,0,0,1,0,"wapo",83,108,2170,2170,156,NA,NA,NA,NA,"Matanuska-Susitna Borough","MatanuskaSusitnaBorou","AKMatanuskaSusitnaBorou",88995,46040,42955,76335,1658,3301,21.2,68670,0.387,10.9,91.8,NA,NA,"AK170","FBIDataToRight",NA,1,31,"USPSDToRight",0,0,0,0,1,0,"AK",1,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",2,1.37983718721354,1.06976124266615
"AL","Autauga County",1,0,0,0,0,0,"wapo",1,27,1001,1001,116,NA,NA,NA,NA,"Autauga","Autauga","ALAutauga",54571,26569,28002,43297,10010,1310,13.6,53049,0.405,11.9,85.3,0.444953068,5,"AL001","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.60166095213134,1.06041427048875
"AL","Baldwin County",0,0,0,0,1,0,"wapo",2,28,1003,1003,62,NA,NA,NA,NA,"Baldwin","Baldwin","ALBaldwin",182265,89196,93069,159710,18131,7992,19.1,47618,0.439,13.3,87.6,NA,NA,"AL003","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.67107007098804,1.04195833475036
"AL","Barbour County",1,0,0,0,0,0,"wapo",3,29,1005,1005,126,NA,NA,NA,NA,"Barbour","Barbour","ALBarbour",27457,14576,12881,13987,13080,1387,18.5,33074,0.464,25.3,71.9,0.448903205,147,"AL005","FBIDataToRight",NA,0,0,"USPSDToRight",0,1,0,0,0,0,"AL",2,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",3,1.50084313551709,1.15620798502966
"AL","Blount County",0,0,0,0,1,0,"wapo",5,31,1009,1009,40,NA,NA,NA,NA,"Blount","Blount","ALBlount",57322,28362,28960,55368,965,4626,19.3,42906,0.422,16.5,74.7,0.493707886,2,"AL009","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.26650070686232,1.10852492634386
"AL","Calhoun County",0,0,0,0,1,0,"wapo",8,34,1015,1015,40,NA,NA,NA,NA,"Calhoun","Calhoun","ALCalhoun",118572,57176,61396,90616,25470,3893,16.1,37916,0.453,23.5,78.5,0.457026253,30,"AL015","FBIDataToRight",NA,0,0,"USPSDToRight",0,0,0,0,1,0,"AL",2,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",4,1.42719232153505,1.00452077654295
"AL","Chilton County",0,0,0,0,2,0,"wapo",11,37,1021,1021,40,NA,NA,NA,NA,"Chilton","Chilton","ALChilton",43643,21608,22035,38456,4546,3420,20,38553,0.451,20.4,75.9,NA,NA,"AL021","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.716926026627916,1.13480748368712
"AL","Colbert County",0,0,0,0,1,0,"wapo",17,43,1033,1033,83,NA,NA,NA,NA,"Colbert","Colbert","ALColbert",54428,26159,28269,44278,9196,1093,14.7,37455,0.435,19.2,80.1,NA,NA,"AL033","FBIDataToRight",NA,0,0,"USPSDToRight",0,0,0,0,1,0,"AL",2,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,1,0,0,"BayesianPosterior",5,1.23781031855061,1.07531356750595
"AL","Covington County",0,0,0,0,1,0,"wapo",20,46,1039,1039,116,NA,NA,NA,NA,"Covington","Covington","ALCovington",37765,18288,19477,32156,4960,483,17.5,33484,0.475,20.9,76.5,0.453398488,0,"AL039","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.14523940742025,1.07041160659053
"AL","Etowah County",0,0,0,0,1,0,"wapo",28,54,1055,1055,40,NA,NA,NA,NA,"Etowah","Etowah","ALEtowah",104430,50626,53804,85447,16571,3447,18.3,36088,0.453,19,81.2,NA,NA,"AL055","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.44616552770473,1.07616367594787
"AL","Jefferson County",3,0,0,0,2,0,"wapo",37,63,1073,1073,40,NA,NA,NA,NA,"Jefferson","Jefferson","ALJefferson",658466,311813,346653,361641,281632,25488,16.1,41740,0.492,18.6,86.6,0.471476923,7,"AL073","FBIDataToRight",1,0,0,"USPSDToRight",1,0,0,0,0,0,"AL",2,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,0,0,1,"BayesianPosterior",10,1.69798235186264,0.92193478925199
"AL","Lawrence County",0,0,0,0,1,0,"wapo",40,66,1079,1079,83,NA,NA,NA,NA,"Lawrence","Lawrence","ALLawrence",34339,16791,17548,26905,4134,574,19,37365,0.399,18.1,75.2,0.444391585,35,"AL079","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.12039279147756,1.1190914057956
"AL","Lee County",0,1,0,0,0,0,"wapo",41,67,1081,1081,126,NA,NA,NA,NA,"Lee","Lee","ALLee",140247,69126,71121,101694,33096,4571,15.8,40102,0.479,21.3,85.2,NA,NA,"AL081","FBIDataToRight",NA,0,0,"USPSDToRight",0,0,0,0,0,1,"AL",2,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,1,1,0,0,0,1,"BayesianPosterior",11,1.95345181571827,1.1299623928282
"AL","Macon County",0,0,0,0,1,0,"wapo",44,70,1087,1087,116,NA,NA,NA,NA,"Macon","Macon","ALMacon",21452,9826,11626,3341,17964,232,16.4,27041,0.483,31.2,78.8,0.47679335,127,"AL087","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.887584756742612,1.18256155615828
"AL","Madison County",1,0,0,0,2,0,"wapo",45,71,1089,1089,83,NA,NA,NA,NA,"Madison","Madison","ALMadison",334811,164320,170491,234267,84699,15404,14.1,54633,0.454,12.7,87.8,0.45694576,172,"AL089","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.48658600142524,0.990344307872541
"AL","Marshall County",0,0,0,0,1,0,"wapo",48,74,1095,1095,83,NA,NA,NA,NA,"Marshall","Marshall","ALMarshall",93019,45843,47176,87993,2329,11238,21.5,38859,0.462,19.4,73.7,0.495059584,34,"AL095","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.39551148418814,1.07933627326869
"AL","Mobile County",1,0,0,0,0,0,"wapo",49,75,1097,1097,62,NA,NA,NA,NA,"Mobile","Mobile","ALMobile",412992,198374,214618,252105,146286,9936,18.6,39753,0.473,20.5,82.3,NA,NA,"AL097","FBIDataToRight",NA,0,0,"USPSDToRight",1,0,0,0,0,1,"AL",2,"SouthernLawCenterDataToRight",0,0,0,0,0,0,3,3,0,0,0,1,1,"BayesianPosterior",12,2.18591184135114,1.0763591473707
"AL","Monroe County",1,0,0,0,0,0,"wapo",50,76,1099,1099,62,NA,NA,NA,NA,"Monroe","Monroe","ALMonroe",23068,11109,11959,12778,9780,220,18.4,31744,0.483,28.4,75.4,0.430282108,96,"AL099","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.45950306130652,1.1969554179485
"AL","Montgomery County",1,0,0,0,0,0,"wapo",51,77,1101,1101,116,NA,NA,NA,NA,"Montgomery","Montgomery","ALMontgomery",229363,109167,120196,94706,127724,8314,15.8,41556,0.473,21.3,84.7,0.449273769,208,"AL101","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.9452999061183,1.1128228758345
"AL","Russell County",0,0,0,0,1,0,"wapo",57,83,1113,1113,126,NA,NA,NA,NA,"Russell","Russell","ALRussell",52947,25287,27660,29075,22789,1946,17.4,32733,0.429,24.1,76.9,0.447399794,10,"AL113","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.12940862012303,1.18363077571373
"AL","St. Clair County",0,0,0,0,1,0,"wapo",58,84,1115,1115,40,NA,NA,NA,NA,"St. Clair","St.Clair","ALSt.Clair",83593,41904,41689,74521,7583,1716,15.2,48296,0.415,13,79.3,0.464814415,26,"AL115","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.35965269306983,1.08930263660178
"AL","Tallapoosa County",0,0,0,0,1,0,"wapo",62,88,1123,1123,116,NA,NA,NA,NA,"Tallapoosa","Tallapoosa","ALTallapoosa",41616,20190,21426,29678,11402,1042,17.3,34440,0.497,18.3,76.1,0.458864561,60,"AL123","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.11407411095748,1.14112310054724
"AL","Tuscaloosa County",0,0,0,0,0,1,"wapo",63,89,1125,1125,40,NA,NA,NA,NA,"Tuscaloosa","Tuscaloosa","ALTuscaloosa",194656,94400,100256,131909,58773,5949,17.5,43098,0.488,18,84.7,0.47376919,238,"AL125","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.05894460508127,1.00770474438882
"AL","Washington County",0,0,0,0,1,0,"wapo",65,91,1129,1129,62,NA,NA,NA,NA,"Washington","Washington","ALWashington",17581,8656,8925,11551,4450,151,19,37639,0.45,19.6,78,0.478892514,1,"AL129","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.948541858114319,1.10768727176077
"AR","Craighead County",0,0,0,0,1,0,"wapo",127,150,5031,5031,181,13,14,63,64,"Craighead","Craighead","ARCraighead",96443,47077,49366,80628,13539,4277,20.7,37780,0.473,21.1,83.3,NA,NA,"AR031","FBIDataToRight",NA,4,112,"USPSDToRight",0,1,0,0,0,0,"AR",3,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",14,1.36359416741153,1.10845296477636
"AR","Garland County",0,0,0,0,1,0,"wapo",137,160,5051,5051,56,13,13,20,117,"Garland","Garland","ARGarland",96024,46614,49410,84901,8614,4622,23.2,36690,0.47,21.7,85,NA,NA,"AR051","FBIDataToRight",NA,4,177,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.36287867314394,1.02539630477198
"AR","Lonoke County",0,0,0,0,3,0,"wapo",154,177,5085,5085,56,2,16,5,59,"Lonoke","Lonoke","ARLonoke",68356,33629,34727,62154,4462,2246,17.6,50021,0.391,12.4,85.8,NA,NA,"AR085","FBIDataToRight",NA,1,79,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.513437932725093,1.09217361265135
"AR","Polk County",0,0,0,0,1,0,"wapo",168,191,5113,5113,56,0,7,0,12,"Polk","Polk","ARPolk",20662,10163,10499,19678,105,1190,25.7,29938,0.417,22.8,80.4,NA,NA,"AR113","FBIDataToRight",NA,0,16,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.04261507878437,1.13327983991424
"AR","Union County",0,1,0,0,0,0,"wapo",181,204,5139,5139,133,5,6,66,17,"Union","Union","ARUnion",41639,20259,21380,26964,14002,1460,18.3,36934,0.471,21.6,81.3,0.511119988,73,"AR139","FBIDataToRight",NA,2,96,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.69864979825021,1.16310927391352
"AR","Washington County",1,0,0,0,1,0,"wapo",183,206,5143,5143,108,8,45,44,236,"Washington","Washington","ARWashington",203065,101486,101579,180130,7662,31458,23.3,39692,0.461,19.6,81.7,NA,NA,"AR143","FBIDataToRight",1,2,297,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.62387833450992,1.06338506241614
"AZ","Apache County",0,0,0,0,3,1,"wapo",97,120,4001,4001,49,0,5,0,19,"Apache","Apache","AZApache",71518,35678,35840,17562,484,4113,21.4,30651,0.488,34.5,72.1,NA,NA,"AZ001","FBIDataToRight",NA,1,50,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,-0.905155846786704,1.13366594184511
"AZ","Cochise County",0,0,2,0,0,0,"wapo",98,121,4003,4003,74,8,29,8,159,"Cochise","Cochise","AZCochise",131346,66977,64369,116276,7210,42543,17.1,43677,0.435,17.7,84.8,NA,NA,"AZ003","FBIDataToRight",NA,8,211,"USPSDToRight",0,0,1,0,0,0,"AZ",4,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,1,0,0,0,0,0,"BayesianPosterior",20,1.99070389981986,1.08848028261323
"AZ","Greenlee County",0,0,0,0,1,0,"wapo",102,125,4011,4011,16,0,1,1,31,"Greenlee","Greenlee","AZGreenlee",8437,4398,4039,7857,122,4040,15.1,49592,0.365,12.7,89.8,NA,NA,"AZ011","FBIDataToRight",NA,0,9,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.997578799013304,1.16960893552188
"AZ","La Paz County",0,0,0,0,1,0,"wapo",103,126,4012,4012,16,0,10,0,18,"La Paz","LaPaz","AZLaPaz",20489,10550,9939,16189,271,4806,25.5,33818,0.437,23.7,76.9,NA,NA,"AZ012","FBIDataToRight",NA,1,28,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.02002281665936,1.2491885597644
"AZ","Maricopa County",1,0,9,1,18,1,"wapo",104,127,4013,4013,16,274,1132,722,2701,"Maricopa","Maricopa","AZMaricopa",3817117,1888465,1928652,3268366,243970,1128741,19.2,50424,0.452,16.6,85.6,NA,NA,"AZ013","FBIDataToRight",40,113,3751,"USPSDToRight",0,0,3,1,6,1,"AZ",4,"SouthernLawCenterDataToRight",0,2,0,1,0,1,0,6,6,2,3,2,10,"BayesianPosterior",22,1.61699660881689,0.659459282270215
"AZ","Mohave County",0,0,0,0,2,0,"wapo",105,128,4015,4015,16,0,50,4,191,"Mohave","Mohave","AZMohave",200186,100078,100108,186021,3002,29569,20.4,36446,0.433,18.7,83,NA,NA,"AZ015","FBIDataToRight",NA,11,223,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.34204347706891,1.04079593009042
"AZ","Pima County",1,0,3,0,2,1,"wapo",107,130,4019,4019,74,47,272,99,590,"Pima","Pima","AZPima",980263,481437,498826,846385,47529,338802,18.2,44293,0.458,17.8,86.8,NA,NA,"AZ019","FBIDataToRight",3,59,812,"USPSDToRight",0,0,2,0,1,0,"AZ",4,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,1,0,0,0,1,1,"BayesianPosterior",23,1.6012777010006,0.879568410273122
"AZ","Pinal County",0,0,1,0,3,0,"wapo",108,131,4021,4021,16,12,73,26,152,"Pinal","Pinal","AZPinal",375770,197165,178605,313816,22242,106977,19.3,49833,0.396,14.4,83.7,NA,NA,"AZ021","FBIDataToRight",1,16,235,"USPSDToRight",0,0,0,1,0,0,"AZ",4,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,0,0,2,"BayesianPosterior",24,1.42849889484071,0.917580759668605
"AZ","Yavapai County",0,0,0,0,2,0,"wapo",110,133,4025,4025,16,1,41,5,217,"Yavapai","Yavapai","AZYavapai",211033,103458,107575,199180,2338,28728,20,40562,0.453,18.3,89.4,NA,NA,"AZ025","FBIDataToRight",NA,22,278,"USPSDToRight",0,0,0,0,1,0,"AZ",4,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",26,1.3473090532533,0.958415513073475
"CA","Alameda County",7,0,1,0,1,1,"wapo",187,210,6001,6001,5,281,454,825,1129,"Alameda","Alameda","CAAlameda",1510271,740573,769698,799607,223476,339889,15.1,66937,0.456,13.5,85.9,NA,NA,"CA001","FBIDataToRight",10,61,2397,"USPSDToRight",4,0,0,0,1,2,"CA",5,"SouthernLawCenterDataToRight",0,2,0,0,0,0,1,1,1,0,0,0,8,"BayesianPosterior",27,1.68193750503685,0.892714743094871
"CA","Butte County",0,0,1,0,0,1,"wapo",190,213,6007,6007,132,6,102,38,466,"Butte","Butte","CAButte",220000,108931,111069,192577,5666,31116,19,41168,0.449,20.1,85.7,NA,NA,"CA007","FBIDataToRight",6,16,523,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.20331312932633,1.02646805711274
"CA","Contra Costa County",1,0,0,1,0,0,"wapo",193,216,6013,6013,5,256,361,605,1061,"Contra Costa","ContraCosta","CAContraCosta",1049025,511526,537499,724805,117167,255560,14.3,73678,0.453,9.3,88.4,NA,NA,"CA013","FBIDataToRight",3,68,1880,"USPSDToRight",3,0,1,0,2,0,"CA",5,"SouthernLawCenterDataToRight",1,2,0,0,0,0,0,0,0,0,0,0,4,"BayesianPosterior",28,2.65512971686206,1.06563678252117
"CA","El Dorado County",0,1,0,0,0,0,"wapo",195,218,6017,6017,19,1,70,11,378,"El Dorado","ElDorado","CAElDorado",181058,90571,90487,164370,2377,21875,13.6,65201,0.421,9.4,92.7,NA,NA,"CA017","FBIDataToRight",4,3,455,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,2.11139515636868,1.07123739136465
"CA","Fresno County",0,0,4,0,3,1,"wapo",196,219,6019,6019,57,214,987,471,2486,"Fresno","Fresno","CAFresno",930450,464811,465639,723512,63178,468070,21.9,44869,0.459,26.8,73.1,NA,NA,"CA019","FBIDataToRight",5,51,3238,"USPSDToRight",1,0,1,0,1,0,"CA",5,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,1,0,0,1,2,"BayesianPosterior",29,1.30366348541724,0.823969989811905
"CA","Humboldt County",0,0,0,0,2,0,"wapo",198,221,6023,6023,190,5,105,18,365,"Humboldt","Humboldt","CAHumboldt",134623,67595,67028,114662,2789,13211,20.2,38254,0.473,18,90.4,NA,NA,"CA023","FBIDataToRight",2,3,418,"USPSDToRight",0,0,0,0,1,0,"CA",5,"SouthernLawCenterDataToRight",0,1,0,0,0,0,0,0,0,0,0,0,2,"BayesianPosterior",30,1.12033903898859,1.06592093212527
"CA","Imperial County",0,0,1,0,0,0,"wapo",199,222,6025,6025,172,8,104,34,422,"Imperial","Imperial","CAImperial",174528,89646,84882,156066,7394,140271,22.6,39261,0.469,22.3,62.3,NA,NA,"CA025","FBIDataToRight",NA,6,555,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.98111252833481,1.13024629160369
"CA","Kern County",0,0,6,0,6,0,"wapo",201,224,6029,6029,130,168,706,559,2436,"Kern","Kern","CAKern",839631,433108,406523,697978,60990,413033,23.4,45045,0.452,21.4,71.1,NA,NA,"CA029","FBIDataToRight",4,95,3338,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.45941782224547,0.837871415167256
"CA","Kings County",0,0,0,0,1,0,"wapo",202,225,6031,6031,57,11,85,64,381,"Kings","Kings","CAKings",152982,86344,66638,124416,13769,77866,19.6,44020,0.413,22.5,69.9,NA,NA,"CA031","FBIDataToRight",1,5,403,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.56910280058673,1.02846211626646
"CA","Lake County",0,0,0,0,1,0,"wapo",203,226,6033,6033,5,6,52,26,252,"Lake","Lake","CALake",64665,32469,32196,57205,1863,11088,20.2,35914,0.442,21,86.3,NA,NA,"CA033","FBIDataToRight",8,4,349,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.22972080227974,1.11204437333444
"CA","Los Angeles County",10,2,30,4,9,1,"wapo",205,228,6037,6037,2,1624,4179,5736,14912,"Los Angeles","LosAngeles","CALosAngeles",9818605,4839654,4978951,7056710,1005298,4687889,25.9,52595,0.489,17.6,75.9,NA,NA,"CA037","FBIDataToRight",89,410,23184,"USPSDToRight",3,5,24,11,6,1,"CA",5,"SouthernLawCenterDataToRight",1,11,0,0,1,0,2,1,14,2,2,1,28,"BayesianPosterior",31,2.77648683537671,0.765259010887541
"CA","Merced County",0,0,1,0,0,0,"wapo",210,233,6047,6047,57,33,152,86,594,"Merced","Merced","CAMerced",255793,128737,127056,210263,13364,140485,21.7,41730,0.46,23.1,67,NA,NA,"CA047","FBIDataToRight",NA,10,847,"USPSDToRight",0,0,0,0,1,1,"CA",5,"SouthernLawCenterDataToRight",0,1,0,0,1,0,0,0,0,0,0,0,1,"BayesianPosterior",32,2.09735187208942,1.09502080439005
"CA","Monterey County",0,0,0,0,3,0,"wapo",213,236,6053,6053,120,18,186,65,838,"Monterey","Monterey","CAMonterey",415057,213431,201626,342554,19045,230003,24.3,53735,0.45,17.1,70.7,NA,NA,"CA053","FBIDataToRight",1,11,1110,"USPSDToRight",0,0,0,0,1,0,"CA",5,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,0,0,1,"BayesianPosterior",33,1.4641813746507,1.00275627956536
"CA","Napa County",0,0,1,0,0,0,"wapo",214,237,6055,6055,5,7,56,16,223,"Napa","Napa","CANapa",136484,68159,68325,117729,3856,44010,18.7,62893,0.461,10.7,82.2,NA,NA,"CA055","FBIDataToRight",NA,3,281,"USPSDToRight",0,0,0,1,0,0,"CA",5,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",34,1.88006985498366,1.03862727037103
"CA","Orange County",2,0,4,2,1,0,"wapo",216,239,6059,6059,2,53,980,225,3548,"Orange","Orange","CAOrange",3010232,1488780,1521452,2266819,75739,1012973,19.9,70727,0.455,12.2,83.3,NA,NA,"CA059","FBIDataToRight",10,103,4382,"USPSDToRight",0,0,4,3,4,2,"CA",5,"SouthernLawCenterDataToRight",0,9,0,0,0,0,0,0,11,0,0,0,6,"BayesianPosterior",35,3.08828775929471,1.04716284431869
