"State","County.Name","B_armed","B_unarmed","H_armed","H_unarmed","W_armed","W_unarmed","src.wapo","SortGADMintoPrevOrder","SortGADMintoGADMintoGADMorder","County.FIPS.Code","FIPS","DMA","WeaponsBlack.sum","WeaponsWhite.sum","AssaultsBlack.sum","AssaultsWhite.sum","county","CountyName","ID","TOT_POP","TOT_MALE","TOT_FEMALE","WA_TOT","BAC_TOT","H_TOT","Pct.Uninsured","Median.Income","Gini","Pct.Living.in.Poverty","Pct.HS.Education","PercentSlaveOwningFarms","NSlavesPerCounty","ID.1","FBIDataToRight","VictimsOfHateCrimes","MURDER","AGASSLT","USPSDToRight","BlackArmed","BlackUnarmed","HispanicArmed","HispanicUnarmed","WhiteArmed","WhiteUnarmed","State.1","RandID","SouthernLawCenterDataToRight","Arson","Assault","Bombing","Cross.Burnings","Harassment","Intelligence","Intimidation","Leafletting","Legal.Developments","Murder","Rally","Threat","Vandalism","BayesianPosterior","ModelID","m.log.RR_Black_Unarmed_Versus_White_Unarmed","sd.log.RR_Black_Unarmed_Versus_White_Unarmed"
"WA","Snohomish County",0,0,0,0,2,0,"wapo",2985,3009,53061,53061,12,11,97,46,309,"Snohomish","Snohomish","WASnohomish",713335,356958,356377,585558,27002,64249,15.5,63391,0.395,10,90.7,NA,NA,"WA061","FBIDataToRight",NA,13,492,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.99225001452208,0.983097743202287
"WA","Spokane County",0,0,0,0,2,0,"wapo",2986,3010,53063,53063,79,9,74,39,186,"Spokane","Spokane","WASpokane",471221,232696,238525,426388,13684,21260,16.1,46881,0.443,14.7,92,NA,NA,"WA063","FBIDataToRight",5,9,397,"USPSDToRight",0,0,0,0,3,2,"WA",43,"SouthernLawCenterDataToRight",0,1,0,1,0,0,0,1,8,0,1,0,3,"BayesianPosterior",296,1.85644106274047,0.986749810357454
"WA","Stevens County",0,0,0,0,1,0,"wapo",2987,3011,53065,53065,79,0,8,1,12,"Stevens","Stevens","WAStevens",43531,21782,21749,39238,320,1185,18.3,41147,0.422,17.4,90.2,NA,NA,"WA065","FBIDataToRight",NA,3,33,"USPSDToRight",0,0,0,0,1,0,"WA",43,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",297,1.21866476251713,1.12596027789014
"WA","Thurston County",0,0,0,0,1,0,"wapo",2988,3012,53067,53067,12,5,36,16,175,"Thurston","Thurston","WAThurston",252264,122952,129312,213593,10708,17787,13.9,60672,0.407,10.7,92.6,NA,NA,"WA067","FBIDataToRight",NA,2,280,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.75505827143178,1.0361282312924
"WA","Whatcom County",0,0,0,0,0,1,"wapo",2991,3015,53073,53073,12,3,47,18,261,"Whatcom","Whatcom","WAWhatcom",201140,99635,101505,178060,3762,15756,16.6,49999,0.438,14.4,90.7,NA,NA,"WA073","FBIDataToRight",3,2,182,"USPSDToRight",0,0,1,0,0,0,"WA",43,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,0,0,1,"BayesianPosterior",298,1.11284974421779,0.950624106995959
"WA","Yakima County",0,0,1,0,0,0,"wapo",2993,3017,53077,53077,127,6,114,11,141,"Yakima","Yakima","WAYakima",243231,121676,121555,216074,4697,109470,27,40503,0.437,23.9,70.8,NA,NA,"WA077","FBIDataToRight",NA,15,314,"USPSDToRight",0,0,0,0,1,0,"WA",43,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,1,0,0,0,0,"BayesianPosterior",299,2.11257323456816,1.09869629114527
"WI","Brown County",0,0,0,0,2,0,"wapo",3053,3053,55009,55009,69,18,28,113,284,"Brown","Brown","WIBrown",248007,122658,125349,223051,7733,17985,10.6,51330,0.429,10.3,90,NA,NA,"WI009","FBIDataToRight",NA,3,246,"USPSDToRight",0,0,0,0,1,0,"WI",44,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,1,0,0,0,0,0,"BayesianPosterior",300,1.44970826611568,0.951154860728562
"WI","Chippewa County",0,0,0,0,1,0,"wapo",3057,3057,55017,55017,123,1,20,2,29,"Chippewa","Chippewa","WIChippewa",62415,32404,30011,59706,1229,800,10.1,46479,0.406,12.3,88.4,NA,NA,"WI017","FBIDataToRight",NA,0,32,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.37952806390906,1.16638104126031
"WI","Dane County",0,1,0,0,1,0,"wapo",3061,3061,55025,55025,86,49,75,171,156,"Dane","Dane","WIDane",488073,241411,246662,425298,31961,28925,8.8,58958,0.439,12.3,94.3,NA,NA,"WI025","FBIDataToRight",1,9,416,"USPSDToRight",0,0,0,0,3,1,"WI",44,"SouthernLawCenterDataToRight",0,1,0,0,3,0,1,2,2,0,1,1,2,"BayesianPosterior",301,2.17087900693452,1.04760373682679
"WI","Eau Claire County",0,0,0,0,1,0,"wapo",3066,3066,55035,55035,123,1,17,14,60,"Eau Claire","EauClaire","WIEauClaire",98736,48351,50385,92479,1524,1804,9.6,43901,0.449,16.7,91.8,NA,NA,"WI035","FBIDataToRight",NA,0,100,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.49715561672611,1.13805735936035
